fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,quality,alcohol
7.5,0.17,0.37,1.5,0.06,18,75,9.936,3.54,0.88,5,"R$ 45.483,00"
7.1,0.47,0.24,6,44,11,77,9.956,3.21,0.56,5,"R$ 45.482,00"
7.1,0.15,0.34,5.3,34,33,104,9.953,3.37,0.52,7,"R$ 45.360,00"
7.5,0.17,0.34,1.4,35,13,102,9.918,03.05,0.74,5,"R$ 11,00"
8.2,0.68,0.3,2.1,47,17,138,995,3.22,0.71,4,"R$ 45.514,00"
7.7,275,0.3,1,39,19,75,992,03.01,0.56,5,"R$ 45.483,00"
7.3,0.49,0.32,5.2,43,18,104,9.952,3.24,0.45,4,"R$ 45.483,00"
7.5,0.33,0.48,19.45,48,55,243,1.001,2.95,0.4,5,"R$ 45.512,00"
7.2,0.21,0.37,1.6,49,23,94,9.924,3.16,0.48,7,"R$ 45.545,00"
7.3,0.15,0.4,2,0.05,24,92,9.932,3.14,0.45,5,"R$ 45.422,00"
6.5,0.19,0.1,1.3,46,23,107,9.937,3.29,0.45,5,"R$ 10,00"
7,0.31,0.52,1.7,29,5,61,9.918,03.07,0.43,5,"R$ 45.392,00"
8.3,0.4,0.38,1.1,38,15,75,9.934,03.03,0.43,5,"R$ 45.331,00"
6.1,0.37,0.36,4.7,35,36,116,991,3.31,0.62,6,"R$ 45.455,00"
7.3,0.24,0.34,7.5,48,29,152,9.962,3.1,0.54,5,"R$ 9,00"
6.9,0.21,0.81,1.1,137,52,123,9.932,03.03,0.39,6,"R$ 45.331,00"
7.6,0.29,0.42,1.3,35,18,86,9.908,2.99,0.39,5,"R$ 45.362,00"
9.4,0.29,0.55,2.2,0.05,17,119,9.962,3.12,0.69,4,"R$ 45.361,00"
7,0.31,0.52,1.7,29,5,61,9.918,03.07,0.43,5,"R$ 45.392,00"
8.6,0.26,0.41,2.2,49,29,111,9.941,2.96,0.44,5,"R$ 10,00"
7.5,0.21,0.34,1.2,0.06,26,111,9.931,3.51,0.47,6,"R$ 45.483,00"
7.2,0.51,0.24,10,93,35,197,9.981,3.41,0.47,5,"R$ 9,00"
7.5,0.21,0.34,1.2,0.06,26,111,9.931,3.51,0.47,6,"R$ 45.483,00"
5.3,0.3,0.2,1.1,77,48,166,9.944,3.3,0.54,4,"R$ 45.481,00"
8,0.26,0.36,2,54,30,121,992,03.09,0.72,7,"R$ 45.454,00"
7,0.21,0.28,7.5,0.07,45,185,9.966,3.34,0.55,5,"R$ 45.391,00"
6.7,0.26,0.26,4,79,35.5,216,9.956,3.31,0.68,5,"R$ 45.421,00"
6.7,0.26,0.26,4.1,73,36,202,9.956,3.3,0.67,5,"R$ 45.421,00"
8.1,0.26,0.37,1.9,72,48,159,9.949,3.37,0.7,6,"R$ 45.545,00"
8.3,0.22,0.38,14.8,54,32,126,1.2002,3.22,0.5,5,"R$ 45.482,00"
6.4,0.3,0.51,5.5,48,62,172,9.942,03.08,0.45,6,"R$ 45.300,00"
7.5,0.19,0.34,2.6,37,33,125,9.923,3.1,0.49,7,"R$ 45.302,00"
8.8,0.33,0.44,6.35,24,9,87,9.917,2.96,0.4,7,"R$ 45.455,00"
6.9,0.2,0.36,1.5,31,38,147,9.931,3.35,0.56,6,"R$ 11,00"
8,0.37,0.32,1.6,0.04,32,166,992,3,0.55,7,"R$ 45.362,00"
8.3,0.22,0.38,14.8,54,32,126,1.2002,3.22,0.5,5,"R$ 45.482,00"
8.2,0.29,0.33,9.1,36,28,118,9.953,2.96,0.4,7,"R$ 45.545,00"
7.7,0.34,0.3,8,48,25,192,9.951,2.97,0.47,5,"R$ 45.545,00"
6.2,0.55,0.45,12,49,27,186,9.974,3.17,0.5,6,"R$ 45.360,00"
6.4,0.4,0.19,3.2,33,28,124,9.904,3.22,0.54,7,"R$ 45.485,00"
7.5,0.28,0.33,7.7,48,42,180,9.974,3.37,0.59,6,"R$ 45.301,00"
7.8,0.26,0.44,1.3,37,43,132,9.944,3.18,0.65,5,"R$ 10,00"
6.5,0.26,0.34,16.3,51,56,197,1.2004,3.49,0.42,5,"R$ 45.513,00"
6.3,0.34,0.29,6.2,46,29,227,9.952,3.29,0.53,6,"R$ 45.301,00"
6.8,0.15,0.33,4.7,59,31,118,9.956,3.43,0.39,7,"R$ 9,00"
6.3,0.27,0.25,5.8,38,52,155,995,3.28,0.38,6,"R$ 45.391,00"
6.3,0.27,0.25,5.8,38,52,155,995,3.28,0.38,6,"R$ 45.391,00"
7.4,0.2,0.37,16.95,48,43,190,9.995,03.03,0.42,6,"R$ 45.331,00"
6.3,0.23,0.21,5.1,35,29,142,9.942,3.36,0.33,7,"R$ 45.301,00"
7.3,0.31,0.69,10.2,41,58,160,9.977,03.06,0.45,5,"R$ 45.451,00"
5.2,0.24,0.45,3.8,27,21,128,992,3.55,0.49,8,"R$ 45.333,00"
7,0.24,0.32,1.3,37,39,123,992,3.17,0.42,8,"R$ 45.333,00"
7.4,0.2,0.37,16.95,48,43,190,9.995,03.03,0.42,6,"R$ 45.331,00"
7,0.17,0.33,4,34,17,127,9.934,3.19,0.39,7,"R$ 45.453,00"
8.3,0.21,0.58,17.1,49,62,213,1.2006,03.01,0.51,6,"R$ 45.360,00"
7.2,0.21,0.35,14.5,48,35,178,9.982,03.05,0.47,6,"R$ 45.543,00"
7.1,0.21,0.4,1.2,69,24,156,9.928,3.42,0.43,6,"R$ 45.453,00"
8.4,0.17,0.31,6.7,38,29,132,9.945,3.1,0.32,7,"R$ 45.453,00"
7.4,0.24,0.31,8.4,45,52,183,9.963,03.09,0.32,5,"R$ 45.512,00"
5.3,0.24,0.33,1.3,33,25,97,9.906,3.59,0.38,8,"R$ 11,00"
6.5,0.28,0.26,8.8,0.04,44,139,9.956,3.32,0.37,6,"R$ 45.332,00"
6.3,0.23,0.21,5.1,35,29,142,9.942,3.36,0.33,7,"R$ 45.301,00"
6.5,0.29,0.25,10.6,39,32,120,9.962,3.31,0.34,6,"R$ 45.301,00"
5.8,0.29,0.21,2.6,25,12,120,9.894,3.39,0.79,7,"R$ 14,00"
6.3,0.27,0.25,5.8,38,52,155,995,3.28,0.38,6,"R$ 45.391,00"
6.3,0.17,0.42,2.8,28,45,107,9.908,3.27,0.43,6,"R$ 45.515,00"
6.3,0.16,0.4,1.6,33,59,148,9.914,3.44,0.53,5,"R$ 45.393,00"
7.9,0.29,0.39,6.7,36,6,117,9.938,3.12,0.42,5,"R$ 45.483,00"
7.3,0.31,0.69,10.2,41,58,160,9.977,03.06,0.45,5,"R$ 45.451,00"
5.5,0.32,0.45,4.9,28,25,191,9.922,3.51,0.49,7,"R$ 45.423,00"
5.2,0.24,0.45,3.8,27,21,128,992,3.55,0.49,8,"R$ 45.333,00"
7.2,0.37,0.15,2,29,27,87,9.903,3.3,0.59,7,"R$ 45.455,00"
6.1,0.29,0.27,1.7,24,13,76,9.893,3.21,0.51,7,"R$ 45.455,00"
9.2,0.22,0.4,2.4,54,18,151,9.952,03.04,0.46,4,"R$ 45.360,00"
7.2,0.37,0.15,2,29,27,87,9.903,3.3,0.59,7,"R$ 45.455,00"
8,0.18,0.37,1.3,0.04,15,96,9.912,03.06,0.61,6,"R$ 45.303,00"
6.5,0.22,0.34,12,53,55,177,9.983,3.52,0.44,6,"R$ 45.544,00"
7.4,0.18,0.4,1.6,47,22,102,9.937,3.28,0.44,5,"R$ 45.483,00"
6.5,0.52,0.17,1.4,47,5,26,9.932,3.26,0.32,4,"R$ 10,00"
7,0.15,0.38,2.2,47,33,96,9.928,3.13,0.39,8,"R$ 45.392,00"
5.9,415,0.13,1.4,0.04,11,64,9.922,3.29,0.52,5,"R$ 45.422,00"
8.1,0.45,0.34,8.3,37,33,216,9.976,3.31,0.64,5,"R$ 45.482,00"
5.8,415,0.13,1.4,0.04,11,64,9.922,3.29,0.52,5,"R$ 45.422,00"
6.4,0.5,0.16,12.9,42,26,138,9.974,3.28,0.33,5,"R$ 9,00"
6.7,105,0.32,12.4,51,34,106,998,3.54,0.45,6,"R$ 45.331,00"
6,0.4,0.3,1.6,47,30,117,9.931,3.17,0.48,6,"R$ 45.301,00"
6.6,0.25,0.39,1.45,0.04,40,89,9.911,3.35,0.4,7,"R$ 45.393,00"
9.8,0.36,0.45,1.6,42,11,124,9.944,2.93,0.46,5,"R$ 45.514,00"
9.6,0.23,0.4,1.5,44,19,135,9.937,2.96,0.49,5,"R$ 45.545,00"
6.3,0.55,0.45,13,47,33,182,9.974,3.2,0.46,6,"R$ 45.331,00"
6.5,115,0.29,1.95,38,73,166,989,3.12,0.25,7,"R$ 45.547,00"
6.4,125,0.29,5.85,42,24,99,992,3.23,0.32,7,"R$ 12,00"
5.7,0.1,0.27,1.3,47,21,100,9.928,3.27,0.46,5,"R$ 45.421,00"
7.9,0.25,0.29,5.3,31,33,117,9.918,03.06,0.32,7,"R$ 45.515,00"
6.9,0.2,0.28,1.2,48,36,159,9.936,3.19,0.43,6,"R$ 45.300,00"
6.9,0.23,0.34,4,47,24,128,9.944,3.2,0.52,6,"R$ 45.482,00"
6.8,0.39,0.31,14.35,43,28,162,9.988,3.17,0.54,5,"R$ 45.300,00"
8.7,0.22,0.42,2.3,53,27,114,994,2.99,0.43,5,"R$ 10,00"
7.4,0.41,0.34,4.7,42,19,127,9.953,3.25,0.42,5,"R$ 45.392,00"
6.7,0.25,0.34,12.85,48,30,161,9.986,3.44,0.47,6,"R$ 45.421,00"
6,0.26,0.42,5.2,27,70,178,9.914,3.4,0.4,8,"R$ 45.363,00"
6.1,0.31,0.37,8.4,31,70,170,9.934,3.42,0.4,8,"R$ 45.484,00"
9.2,0.28,0.46,3.2,58,39,133,996,3.14,0.58,5,"R$ 45.421,00"
9,0.31,0.49,6.9,34,26,91,9.937,2.99,0.34,5,"R$ 45.423,00"
8.5,0.16,0.33,1,76,17,57,9.921,3.14,0.46,6,"R$ 45.453,00"
9.3,0.34,0.49,7.3,52,30,146,998,3.17,0.61,5,"R$ 45.332,00"
9.2,0.28,0.46,3.2,58,39,133,996,3.14,0.58,5,"R$ 45.421,00"
7.2,0.24,0.3,1.6,48,27,131,9.933,3.25,0.45,5,"R$ 45.422,00"
7.2,0.25,0.32,1.5,47,27,132,9.933,3.26,0.44,5,"R$ 45.422,00"
6.8,0.32,0.18,7.5,41,71,223,9.959,3.14,0.41,5,"R$ 45.543,00"
9.1,0.27,0.32,1.1,31,15,151,9.936,03.03,0.41,5,"R$ 45.453,00"
8.9,0.34,0.32,1.3,41,12,188,9.953,3.17,0.49,5,"R$ 45.421,00"
7,0.17,0.37,5.7,25,29,111,9.938,3.2,0.49,6,"R$ 45.514,00"
6.7,0.25,0.23,7.2,38,61,220,9.952,3.14,0.35,5,"R$ 45.421,00"
6.9,0.32,0.17,7.6,42,69,219,9.959,3.13,0.4,5,"R$ 45.543,00"
6.8,0.32,0.18,7.5,41,71,223,9.959,3.14,0.41,5,"R$ 45.543,00"
6.1,0.6,0,1.3,42,24,79,9.937,3.31,0.38,4,"R$ 45.391,00"
5.3,395,0.07,1.3,35,26,102,992,3.5,0.35,6,"R$ 45.453,00"
7.9,0.16,0.3,4.8,37,37,171,9.967,3.47,0.44,4,"R$ 9,00"
7.6,0.33,0.36,2.1,34,26,172,9.944,3.42,0.48,4,"R$ 45.422,00"
7.8,0.3,0.29,16.85,54,23,135,9.998,3.16,0.38,6,"R$ 9,00"
7.8,0.3,0.29,16.85,54,23,135,9.998,3.16,0.38,6,"R$ 9,00"
5.7,0.26,0.27,4.1,201,73.5,189.5,9.942,3.27,0.38,6,"R$ 45.391,00"
7.8,0.3,0.29,16.85,54,23,135,9.998,3.16,0.38,6,"R$ 9,00"
7.5,0.14,0.34,1.3,55,50,153,9.945,3.29,0.8,6,"R$ 45.452,00"
7.8,0.3,0.29,16.85,54,23,135,9.998,3.16,0.38,6,"R$ 9,00"
6.6,0.25,0.41,7.4,43,29,151,9.946,3.15,0.6,7,"R$ 45.332,00"
5.7,0.26,0.27,4.1,201,73.5,189.5,9.942,3.27,0.38,6,"R$ 45.391,00"
8.2,0.23,0.49,0.9,57,15,73,9.928,03.07,0.38,6,"R$ 45.392,00"
6,0.24,0.32,6.3,0.03,34,129,9.946,3.52,0.41,5,"R$ 45.392,00"
6.1,0.45,0.27,0.8,39,13,82,9.927,3.23,0.32,5,"R$ 45.421,00"
7.4,0.23,0.43,1.4,44,22,113,9.938,3.22,0.62,6,"R$ 45.453,00"
7.2,0.2,0.38,1,37,21,74,9.918,3.21,0.37,5,"R$ 11,00"
7.5,0.14,0.34,1.3,55,50,153,9.945,3.29,0.8,6,"R$ 45.452,00"
7.7,0.25,0.43,4.5,62,20,115,9.966,3.38,0.5,6,"R$ 45.544,00"
8.2,0.61,0.45,5.4,0.03,15,118,9.954,3.14,0.34,5,"R$ 45.452,00"
7.6,0.21,0.44,1.9,36,10,119,9.913,03.01,0.7,6,"R$ 45.516,00"
7.4,0.22,0.33,2,45,31,101,9.931,3.42,0.55,5,"R$ 45.393,00"
7.2,0.26,0.26,12.7,36,49,214,9.986,3.41,0.5,6,"R$ 10,00"
6.4,0.25,0.41,8.6,42,57,173,9.965,3,0.44,5,"R$ 45.300,00"
6.3,0.32,0.35,11.1,39,29,198,9.984,3.36,0.5,7,"R$ 45.391,00"
6.8,0.25,0.29,2,42,19,189,9.952,3.46,0.54,6,"R$ 45.332,00"
9.8,0.44,0.4,2.8,36,35,167,9.956,2.97,0.39,5,"R$ 45.331,00"
7.2,0.2,0.25,4.5,44,31,109,9.949,3.23,0.36,5,"R$ 45.391,00"
8.2,0.61,0.45,5.4,0.03,15,118,9.954,3.14,0.34,5,"R$ 45.452,00"
7.5,0.42,0.45,9.1,29,20,125,996,3.12,0.36,6,"R$ 45.301,00"
7.4,0.22,0.33,2,45,31,101,9.931,3.42,0.55,5,"R$ 45.393,00"
6.4,0.26,0.3,2.2,25,33,134,992,3.21,0.47,6,"R$ 45.453,00"
7.9,0.46,0.32,4.1,33,40,138,9.912,3.18,0.44,7,"R$ 45.516,00"
6.5,0.41,0.64,11.8,65,65,225,9.978,3.12,0.51,5,"R$ 45.543,00"
7.5,0.32,0.37,1.2,48,22,184,9.938,03.09,0.43,5,"R$ 45.360,00"
6.6,0.21,0.38,2.2,26,40,104,9.914,3.25,0.4,8,"R$ 45.302,00"
7.1,0.21,0.3,1.4,37,45,143,9.932,3.13,0.33,6,"R$ 45.544,00"
7.6,0.26,0.47,1.6,68,5,55,9.944,3.1,0.45,5,"R$ 45.452,00"
7.6,0.21,0.44,1.9,36,10,119,9.913,03.01,0.7,6,"R$ 45.516,00"
6.9,0.25,0.26,5.2,24,36,135,9.948,3.16,0.72,7,"R$ 45.483,00"
7.1,0.26,0.32,14.45,74,29,107,998,2.96,0.42,6,"R$ 45.331,00"
7.3,0.22,0.4,14.75,42,44.5,129.5,9.998,3.36,0.41,7,"R$ 45.300,00"
6.2,0.37,0.22,8.3,25,36,216,9.964,3.33,0.6,6,"R$ 45.452,00"
7.9,0.22,0.45,14.2,38,53,141,9.992,03.03,0.46,6,"R$ 45.331,00"
6.9,0.25,0.26,5.2,24,36,135,9.948,3.16,0.72,7,"R$ 45.483,00"
7.3,0.22,0.4,14.75,42,44.5,129.5,9.998,3.36,0.41,7,"R$ 45.300,00"
7.1,0.26,0.32,14.45,74,29,107,998,2.96,0.42,6,"R$ 45.331,00"
7.4,0.25,0.37,6.9,0.02,14,93,9.939,3,0.48,7,"R$ 45.483,00"
6.8,0.18,0.37,1.5,27,37,93,992,3.3,0.45,6,"R$ 45.514,00"
7,0.17,0.37,1.5,28,26,75,9.922,3.3,0.46,7,"R$ 45.514,00"
6.4,0.3,0.38,7.8,46,35,192,9.955,3.1,0.37,5,"R$ 9,00"
5,0.33,0.16,1.5,49,10,97,9.917,3.48,0.44,6,"R$ 45.483,00"
5,0.33,0.16,1.5,49,10,97,9.917,3.48,0.44,6,"R$ 45.483,00"
8.9,0.33,0.32,1.5,47,11,200,9.954,3.19,0.46,5,"R$ 45.391,00"
7,0.26,0.46,15.55,37,61,171,9.986,2.94,0.35,6,"R$ 45.512,00"
6.4,0.3,0.38,7.8,46,35,192,9.955,3.1,0.37,5,"R$ 9,00"
6.3,0.21,0.4,1.7,31,48,134,9.917,3.42,0.49,6,"R$ 45.423,00"
8,0.23,0.46,1.5,0.03,30,125,9.907,3.23,0.47,6,"R$ 45.424,00"
9.2,0.28,0.41,1,42,14,59,9.922,2.96,0.25,6,"R$ 45.422,00"
7.3,0.27,0.39,6.7,64,28,188,9.958,3.29,0.3,5,"R$ 45.482,00"
7.6,0.32,0.36,1.6,0.04,32,155,993,3.23,0.52,6,"R$ 45.362,00"
5,0.33,0.16,1.5,49,10,97,9.917,3.48,0.44,6,"R$ 45.483,00"
9.7,0.24,0.45,1.2,33,11,59,9.926,2.74,0.47,6,"R$ 45.514,00"
8,0.28,0.42,7.1,45,41,169,9.959,3.17,0.43,5,"R$ 45.453,00"
8.2,0.37,0.36,1,34,17,93,9.906,03.04,0.32,8,"R$ 45.484,00"
8,0.61,0.38,12.1,301,24,220,9.993,2.94,0.48,5,"R$ 45.331,00"
7.2,0.26,0.44,7.1,27,25,126,993,03.02,0.34,8,"R$ 45.302,00"
8.2,0.37,0.36,1,34,17,93,9.906,03.04,0.32,8,"R$ 45.484,00"
6.4,0.23,0.33,1.15,44,15.5,217.5,992,3.33,0.44,6,"R$ 11,00"
5.9,0.4,0.32,6,34,50,127,992,3.51,0.58,7,"R$ 45.424,00"
7.6,0.28,0.39,1.2,38,21,115,994,3.16,0.67,6,"R$ 10,00"
8,0.28,0.42,7.1,45,41,169,9.959,3.17,0.43,5,"R$ 45.453,00"
7.2,0.23,0.39,2.3,33,29,102,9.908,3.26,0.54,7,"R$ 45.363,00"
6.8,0.32,0.37,3.4,23,19,87,9.902,3.14,0.53,6,"R$ 45.485,00"
7.2,0.23,0.39,2.3,33,29,102,9.908,3.26,0.54,7,"R$ 45.363,00"
6.9,0.18,0.38,6.5,39,20,110,9.943,3.1,0.42,5,"R$ 45.422,00"
9.4,0.26,0.53,1.2,47,25,109,9.921,3.23,0.28,6,"R$ 45.424,00"
8.3,0.33,0.42,1.15,33,18,96,9.911,3.2,0.32,3,"R$ 45.394,00"
7.3,0.29,0.3,13,43,46,238,9.986,03.06,0.41,6,"R$ 45.481,00"
7.9,0.41,0.37,4.5,0.03,40,114,992,3.17,0.54,7,"R$ 45.394,00"
7.9,0.44,0.37,5.85,33,27,93,992,3.16,0.54,7,"R$ 45.455,00"
7.7,0.39,0.3,5.2,37,29,131,9.943,3.38,0.44,6,"R$ 11,00"
7.7,0.26,0.31,1.3,43,47,155,9.937,3.42,0.5,6,"R$ 45.301,00"
7.8,0.32,0.31,1.7,36,46,195,993,03.03,0.48,5,"R$ 45.422,00"
6.8,0.32,0.37,3.4,23,19,87,9.902,3.14,0.53,6,"R$ 45.485,00"
7.3,0.24,0.39,3.6,24,35,116,9.928,3.17,0.51,5,"R$ 45.545,00"
7.1,0.44,0.37,2.7,41,35,128,9.896,03.07,0.43,7,"R$ 45.425,00"
10.3,0.25,0.48,2.2,42,28,164,998,3.19,0.59,5,"R$ 45.482,00"
7.9,0.14,0.28,1.8,41,44,178,9.954,3.45,0.43,6,"R$ 45.331,00"
7.4,0.18,0.42,2.1,36,33,187,9.938,3.4,0.41,7,"R$ 45.453,00"
8.1,0.43,0.42,6.6,33,36,141,9.918,2.98,0.39,7,"R$ 45.364,00"
7.1,0.44,0.37,2.7,41,35,128,9.896,03.07,0.43,7,"R$ 45.425,00"
6.4,0.26,0.22,5.1,37,23,131,9.944,3.29,0.32,5,"R$ 45.301,00"
8,0.66,0.72,17.55,42,62,233,9.999,2.92,0.68,4,"R$ 45.391,00"
8,0.2,0.4,5.2,55,41,167,9.953,3.18,0.4,7,"R$ 45.453,00"
7.2,0.21,0.34,1.1,46,25,80,992,3.25,0.4,6,"R$ 45.362,00"
7.2,0.18,0.31,1.1,45,20,73,9.925,3.32,0.4,7,"R$ 45.514,00"
8.4,0.57,0.44,10.7,51,46,195,9.981,3.15,0.51,5,"R$ 45.392,00"
5.3,0.26,0.23,5.15,34,48,160,9.952,3.82,0.51,7,"R$ 45.422,00"
5.7,245,0.33,1.1,49,28,150,9.927,3.13,0.42,5,"R$ 45.360,00"
5.6,245,0.32,1.1,47,24,152,9.927,3.12,0.42,6,"R$ 45.360,00"
7.3,0.25,0.41,1.8,37,52,165,9.911,3.29,0.39,7,"R$ 45.334,00"
7,0.16,0.73,1,138,58,150,9.936,03.08,0.3,5,"R$ 45.331,00"
6.4,0.22,0.34,1.8,57,29,104,9.959,3.81,0.57,6,"R$ 45.361,00"
7.3,0.18,0.65,1.4,46,28,157,9.946,3.33,0.62,6,"R$ 45.391,00"
6.4,0.17,0.27,6.7,36,88,223,9.948,3.28,0.35,6,"R$ 45.332,00"
6.9,0.29,0.16,6.8,34,65,212,9.955,03.08,0.39,6,"R$ 9,00"
6.2,0.21,0.38,6.8,36,64,245,9.951,03.06,0.36,6,"R$ 45.360,00"
6.4,0.23,0.3,7.1,37,63,236,9.952,03.06,0.34,6,"R$ 45.331,00"
7.3,0.19,0.68,1.5,0.05,31,156,9.946,3.32,0.64,6,"R$ 45.391,00"
7.3,0.18,0.65,1.4,46,28,157,9.946,3.33,0.62,6,"R$ 45.391,00"
9.6,0.29,0.46,1.45,39,77.5,223,9.944,2.92,0.46,6,"R$ 45.421,00"
7.2,0.14,0.35,1.2,36,15,73,9.938,3.46,0.39,5,"R$ 45.544,00"
6.9,0.31,0.34,7.4,59,36,174,9.963,3.46,0.62,7,"R$ 45.302,00"
7.5,0.28,0.34,4.2,28,36,116,991,2.99,0.41,8,"R$ 45.363,00"
8,0.22,0.42,14.6,44,45,163,1.2003,3.21,0.69,7,"R$ 45.451,00"
7.6,0.31,0.29,10.5,0.04,21,145,9.966,03.04,0.35,5,"R$ 45.391,00"
8.4,0.35,0.56,13.8,48,55,190,9.993,03.07,0.58,6,"R$ 45.391,00"
8,0.22,0.42,14.6,44,45,163,1.2003,3.21,0.69,7,"R$ 45.451,00"
8.1,0.5,0.47,1.1,37,23,126,9.938,3.21,0.42,5,"R$ 45.545,00"
7,0.39,0.31,5.3,169,32,162,9.965,3.2,0.48,5,"R$ 45.391,00"
8.1,0.5,0.47,1.1,37,23,126,9.938,3.21,0.42,5,"R$ 45.545,00"
8.4,0.35,0.56,13.8,48,55,190,9.993,03.07,0.58,6,"R$ 45.391,00"
6.2,0.22,0.27,1.5,64,20,132,9.938,3.22,0.46,6,"R$ 45.331,00"
8,0.22,0.42,14.6,44,45,163,1.2003,3.21,0.69,7,"R$ 45.451,00"
7.6,0.31,0.29,10.5,0.04,21,145,9.966,03.04,0.35,5,"R$ 45.391,00"
7,0.24,0.36,4.9,83,10,133,9.942,3.33,0.37,6,"R$ 45.514,00"
6.6,0.27,0.3,1.9,25,14,153,9.928,3.29,0.62,6,"R$ 45.422,00"
7.8,0.16,0.41,1.7,26,29,140,991,03.02,0.78,6,"R$ 45.424,00"
7.7,0.27,0.34,1.8,28,26,168,9.911,2.99,0.48,7,"R$ 45.303,00"
7.4,0.31,0.74,10.7,39,51,147,9.977,03.02,0.43,5,"R$ 45.481,00"
8,0.45,0.36,8.8,26,50,151,9.927,03.07,0.25,8,"R$ 45.485,00"
7.7,0.27,0.34,1.8,28,26,168,9.911,2.99,0.48,7,"R$ 45.303,00"
7.8,0.16,0.41,1.7,26,29,140,991,03.02,0.78,6,"R$ 45.424,00"
6.6,0.16,0.29,1.8,0.05,40,147,9.912,03.06,0.44,7,"R$ 45.393,00"
8.3,0.21,0.4,1.6,32,35,110,9.907,03.02,0.6,7,"R$ 45.547,00"
7.2,0.32,0.33,1.4,29,29,109,9.902,3.15,0.51,7,"R$ 45.516,00"
6.6,0.16,0.3,1.6,34,15,78,992,3.38,0.44,6,"R$ 45.333,00"
8.4,0.16,0.33,1.5,33,16,98,994,3.14,0.42,6,"R$ 45.482,00"
7.5,0.23,0.32,9.2,38,54,191,9.966,03.04,0.56,6,"R$ 45.482,00"
6.2,0.17,0.3,1.1,37,14,79,993,3.5,0.54,6,"R$ 45.361,00"
6.9,0.39,0.22,4.3,0.03,10,102,993,3,0.87,4,"R$ 45.454,00"
6.9,0.41,0.22,4.2,31,10,102,993,3,0.86,4,"R$ 45.454,00"
7.5,0.23,0.32,9.2,38,54,191,9.966,03.04,0.56,6,"R$ 45.482,00"
7.5,0.38,0.33,5,45,30,131,9.942,3.32,0.44,6,"R$ 45.545,00"
7.3,0.42,0.38,6.8,45,29,122,9.925,3.19,0.37,7,"R$ 45.455,00"
7.3,0.34,0.39,5.2,0.04,45,163,9.925,3.3,0.47,6,"R$ 45.394,00"
7.8,0.23,0.28,4.75,42,45,166,9.928,2.96,0.4,5,"R$ 45.423,00"
9,245,0.38,5.9,45,52,159,995,2.93,0.35,6,"R$ 45.332,00"
6.9,0.2,0.4,7.7,32,51,176,9.939,3.22,0.27,5,"R$ 45.393,00"
7.4,0.19,0.42,6.4,67,39,212,9.958,3.3,0.33,6,"R$ 45.452,00"
8.2,0.2,0.36,8.1,35,60,163,9.952,03.05,0.3,6,"R$ 45.361,00"
8,0.59,0.71,17.35,38,61,228,1,2.95,0.75,5,"R$ 45.360,00"
7.9,0.14,0.45,1.8,0.05,17,114,9.948,3.33,0.49,7,"R$ 45.483,00"
6.8,0.24,0.4,1.8,47,34,105,0.99,3.13,0.49,8,"R$ 45.516,00"
9.7,0.14,0.59,1.5,49,23,142,9.958,2.98,0.62,5,"R$ 45.421,00"
9.2,0.15,0.68,1.6,46,22,130,9.948,03.02,0.45,6,"R$ 45.392,00"
9.4,0.17,0.55,1.6,49,14,94,9.949,03.02,0.61,6,"R$ 45.361,00"
5.2,365,0.08,13.5,41,37,142,997,3.46,0.39,6,"R$ 45.544,00"
6.3,0.23,0.22,3.75,39,37,116,9.927,3.23,0.5,6,"R$ 45.483,00"
9.6,0.25,0.54,1.3,0.04,16,160,9.938,2.94,0.43,5,"R$ 45.422,00"
9.2,0.32,0.42,1.3,46,14,186,9.949,03.08,0.48,5,"R$ 45.452,00"
6.4,0.31,0.4,6.2,0.04,46,169,9.953,3.15,0.46,6,"R$ 45.360,00"
8.1,0.2,0.36,9.7,44,63,162,997,3.1,0.46,6,"R$ 10,00"
7.9,255,0.26,2,26,40,190,9.932,03.04,0.39,6,"R$ 45.333,00"
7,0.15,0.34,1.4,39,21,177,9.927,3.32,0.62,5,"R$ 45.514,00"
6.4,0.15,0.31,1.1,44,25,96,9.932,3.54,0.51,6,"R$ 45.361,00"
6.4,0.25,0.53,6.6,38,59,234,9.955,03.03,0.42,5,"R$ 45.512,00"
7.6,0.19,0.42,1.5,44,6,114,9.914,03.04,0.74,6,"R$ 45.516,00"
7.3,0.43,0.37,4.6,28,17,114,991,3.23,0.43,6,"R$ 45.335,00"
5.1,0.31,0.3,0.9,37,28,152,992,3.54,0.56,6,"R$ 45.301,00"
6.2,0.2,0.26,1.7,93,40,161,9.924,3.44,0.66,5,"R$ 11,00"
6.9,0.16,0.35,1.3,43,21,182,9.927,3.25,0.62,6,"R$ 45.514,00"
7.7,0.32,0.48,2.3,0.04,28,114,9.911,3.2,0.52,7,"R$ 45.516,00"
6.5,0.22,0.72,6.8,42,33,168,9.958,3.12,0.36,6,"R$ 45.331,00"
6.8,0.26,0.33,1.5,47,44,167,9.928,3.12,0.44,6,"R$ 45.422,00"
5.2,0.37,0.33,1.2,28,13,81,9.902,3.37,0.38,6,"R$ 45.484,00"
8.4,0.19,0.43,2.1,52,20,104,994,2.85,0.46,5,"R$ 45.421,00"
