rate_math,rate_science,rate_english,rate_humanities,rate_art,tot_time,device,gender,age,resub_yn,comb_yn,othersub_yn,leave_yn
0.616,0.578,0.357,0.465,0.538,36.99,pc,M,52,Y,N,N,0
0.635,0.274,0.788,0.014,0.014,25.9,mobile,F,22,N,N,N,1
0.045,0.079,0.251,0.082,0.258,37.83,mobile,F,57,N,N,Y,0
0.375,0.086,0.564,0.259,0.45,15.3,mobile,F,27,N,N,N,0
0.626,0.894,0.359,0.028,0.693,17.37,tablet,M,26,N,N,N,0
0.503,0.192,0.657,0.631,0.733,22.24,pc,M,26,Y,Y,N,0
0.856,0.323,0.24,0.426,0.995,30.79,pc,F,20,N,N,Y,1
0.659,0.227,0.192,0.548,0.288,23.59,mobile,F,29,N,N,Y,0
0.163,0.355,0.918,0.175,0.538,36.59,mobile,F,19,N,N,Y,0
0.071,0.069,0.102,0.296,0.533,40.27,tablet,F,38,N,N,Y,0
0.642,0.519,0.506,0.664,0.406,36.0,pc,M,57,N,N,N,0
0.027,0.068,0.221,0.965,0.169,46.19,tablet,M,43,N,N,Y,0
0.586,0.8,0.039,0.05,0.977,34.16,pc,F,26,N,N,N,1
0.94,,0.036,0.89,0.853,17.83,tablet,F,51,Y,N,Y,0
0.575,0.54,0.175,0.577,0.498,43.63,mobile,F,22,N,N,Y,0
0.388,0.88,0.867,0.564,0.603,23.95,tablet,M,53,N,N,N,0
0.643,0.651,0.282,0.5,0.227,39.1,tablet,F,56,N,N,Y,1
0.458,0.533,0.95,0.069,0.544,45.74,mobile,M,48,N,N,N,1
0.546,0.324,0.582,0.09,0.695,34.57,pc,F,36,N,Y,Y,0
0.941,0.333,0.437,0.601,0.515,15.04,pc,M,35,N,Y,Y,0
0.386,0.669,0.58,0.341,0.99,20.82,mobile,M,37,N,N,N,1
0.961,0.994,0.517,0.917,0.611,43.23,tablet,F,22,N,Y,N,1
0.905,0.662,0.759,0.407,0.371,28.31,tablet,M,21,N,N,Y,1
0.196,0.558,0.282,0.143,0.772,30.8,tablet,M,53,N,Y,Y,1
0.069,0.731,0.353,0.715,0.17,37.59,pc,M,37,N,N,N,0
0.101,0.465,0.894,0.293,0.385,36.96,tablet,M,11,Y,N,N,0
,0.06,0.946,0.525,0.347,32.79,pc,F,46,N,N,N,1
0.094,,0.893,0.698,0.432,27.91,tablet,F,43,Y,N,Y,1
0.683,0.958,0.419,0.9,0.782,26.87,mobile,F,32,N,N,N,0
0.071,0.175,0.78,0.792,0.484,38.58,mobile,F,54,N,N,Y,0
0.319,0.69,0.476,0.676,0.794,,pc,F,38,N,Y,Y,1
0.845,0.201,0.498,0.68,0.576,27.43,pc,M,44,N,N,N,0
0.023,0.536,0.205,0.946,0.342,40.82,mobile,M,20,N,N,Y,1
0.814,0.097,0.591,0.296,0.81,28.71,mobile,M,57,Y,N,Y,0
0.282,0.45,0.186,0.001,0.238,21.48,tablet,M,42,N,N,Y,0
0.118,0.756,0.332,0.272,0.224,22.41,mobile,F,20,N,Y,Y,0
0.697,0.348,0.855,0.218,0.505,,pc,F,18,N,N,N,0
0.629,0.665,0.207,0.662,0.261,27.28,mobile,M,23,N,N,N,0
0.877,0.795,0.071,0.634,0.009,42.34,pc,F,18,N,N,Y,0
0.735,0.927,0.069,0.593,0.648,21.95,pc,M,48,N,Y,N,1
0.803,0.235,0.941,0.016,0.511,31.88,tablet,M,57,N,N,N,1
0.282,0.399,0.507,0.729,0.446,23.43,tablet,F,12,N,N,N,0
0.177,0.152,0.409,0.324,0.967,27.4,tablet,F,38,Y,N,Y,0
0.751,0.992,0.811,0.665,0.571,14.9,tablet,F,28,N,N,N,0
0.807,0.927,0.836,0.557,0.863,27.79,mobile,F,45,N,N,N,0
0.991,0.54,0.332,0.343,0.139,28.06,tablet,F,41,Y,Y,Y,0
0.413,0.842,0.694,0.135,0.569,35.4,mobile,F,16,Y,N,Y,0
0.372,0.521,0.771,0.094,0.868,32.23,tablet,F,37,N,Y,Y,0
0.776,0.624,0.655,0.832,0.583,18.02,tablet,M,53,N,Y,N,0
0.341,0.089,0.152,0.918,0.718,40.84,pc,F,27,Y,N,Y,0
,0.755,0.876,0.65,0.372,32.1,mobile,M,14,N,N,N,1
0.858,0.128,0.539,0.103,0.092,31.98,pc,M,32,N,N,Y,0
0.429,0.826,0.282,0.402,0.458,29.91,tablet,F,31,Y,N,N,1
0.751,0.782,0.425,0.729,0.394,24.82,mobile,M,35,Y,N,Y,1
0.755,0.709,0.038,0.78,0.867,32.18,tablet,F,51,N,N,N,1
0.103,0.036,0.128,0.118,0.244,,pc,M,21,Y,N,N,1
0.903,0.303,0.766,0.0,0.967,12.53,mobile,M,49,N,N,Y,0
0.505,0.263,0.0,0.712,0.958,24.61,pc,M,28,N,N,Y,0
0.826,,0.417,0.357,0.248,27.45,tablet,F,56,N,N,Y,0
0.32,0.088,0.523,0.254,0.348,32.56,tablet,M,10,Y,N,N,1
0.896,0.937,0.055,0.013,0.896,41.93,tablet,M,12,Y,N,N,1
0.389,0.554,0.973,0.54,0.967,,mobile,M,36,Y,N,Y,1
0.011,0.306,0.226,0.851,0.443,25.02,pc,F,27,Y,N,Y,0
0.905,0.397,0.304,0.958,0.321,,pc,M,59,N,N,Y,1
0.091,0.447,0.304,0.566,0.526,21.98,tablet,F,39,Y,Y,N,0
0.319,0.601,0.23,0.514,0.688,26.53,pc,M,11,N,Y,N,0
0.95,0.516,0.001,0.085,0.273,37.71,mobile,M,14,N,Y,N,1
0.951,0.919,0.729,0.549,0.736,,tablet,M,38,Y,N,Y,0
0.573,0.497,0.967,0.38,0.052,34.28,tablet,F,42,Y,Y,Y,1
0.632,0.992,0.224,0.607,0.049,12.98,tablet,M,51,Y,N,N,0
0.448,0.851,0.663,0.389,0.386,24.39,mobile,M,29,Y,N,Y,1
0.293,0.209,0.742,0.24,0.353,26.71,tablet,M,39,N,N,N,0
0.329,0.931,0.848,0.095,0.316,46.75,tablet,M,51,N,N,Y,1
0.673,0.116,0.423,0.315,0.491,27.25,tablet,F,14,N,N,Y,1
0.752,0.817,0.303,0.097,0.321,7.99,tablet,M,59,N,N,N,1
0.792,0.381,0.325,0.177,0.192,10.01,pc,M,30,N,N,N,0
0.79,0.878,0.713,0.987,0.309,30.34,tablet,M,24,N,N,N,1
0.091,0.868,0.817,0.444,0.975,36.14,mobile,M,29,N,N,Y,0
0.494,,0.182,0.532,0.411,33.75,tablet,F,17,Y,N,Y,0
0.058,0.79,0.371,0.874,0.445,31.68,tablet,M,58,Y,N,N,0
0.55,0.305,0.902,0.996,0.577,41.62,pc,M,40,N,Y,N,1
0.442,0.081,0.807,0.583,0.983,24.6,tablet,F,21,N,N,N,0
0.888,0.403,0.985,0.812,0.242,38.95,pc,M,30,N,N,Y,1
0.351,0.174,0.754,0.327,0.681,13.68,mobile,M,39,N,N,N,1
0.117,0.695,0.393,0.306,0.716,20.95,pc,M,36,N,N,N,0
0.143,0.346,0.591,0.403,0.607,11.93,tablet,F,53,N,N,N,1
0.762,0.976,0.661,0.673,0.089,27.25,mobile,M,35,N,Y,N,0
0.618,0.641,0.078,0.682,0.677,29.54,tablet,F,42,N,Y,Y,1
0.101,0.822,0.544,0.315,0.064,31.14,pc,F,35,N,Y,N,0
0.084,0.133,0.709,0.133,0.596,30.62,mobile,F,35,N,Y,N,0
0.701,0.862,0.167,0.632,0.74,20.72,mobile,F,45,N,Y,N,0
0.073,0.923,0.781,0.128,0.211,28.1,pc,F,49,N,N,N,0
0.822,0.487,0.584,0.578,0.842,15.03,pc,F,10,N,N,N,0
0.706,0.606,0.952,0.693,0.03,43.63,mobile,F,24,N,N,N,0
0.081,0.765,0.042,0.701,0.844,,mobile,M,59,N,N,Y,0
0.085,0.175,0.265,0.753,0.46,25.11,pc,M,10,N,Y,Y,0
0.987,0.503,0.602,0.873,0.218,45.89,tablet,F,20,Y,N,Y,0
0.374,0.399,0.297,0.5,0.134,17.58,mobile,F,11,N,N,Y,1
0.371,0.146,0.714,0.73,0.953,,pc,F,10,Y,N,Y,0
0.813,0.368,0.759,0.619,0.073,19.04,tablet,F,40,N,N,Y,1
0.947,0.068,0.103,0.187,0.199,,mobile,F,53,N,N,Y,0
0.986,0.026,0.514,0.026,0.348,34.32,mobile,F,25,N,N,Y,0
0.753,,0.509,0.285,0.62,37.4,pc,M,31,Y,N,Y,0
0.376,0.963,0.369,0.443,0.545,55.72,tablet,M,51,N,N,Y,0
0.084,0.55,0.933,0.617,0.126,7.51,mobile,F,27,N,N,N,0
0.777,0.966,0.828,0.85,0.29,,tablet,F,56,N,N,N,0
0.558,0.432,0.697,0.196,0.239,24.43,tablet,F,26,Y,N,Y,1
0.424,,0.714,0.126,0.214,24.14,mobile,M,39,N,N,N,1
0.906,0.506,0.462,0.963,0.411,23.8,tablet,F,19,N,N,N,0
0.111,0.44,0.921,0.108,0.704,20.91,mobile,M,44,Y,N,Y,1
0.493,0.106,0.695,0.478,0.217,46.85,tablet,M,30,N,Y,N,0
0.011,0.641,0.729,0.586,0.367,38.42,mobile,M,25,N,N,N,0
0.469,0.216,0.862,0.541,0.391,30.23,pc,F,15,N,Y,N,0
0.056,0.62,0.274,0.086,0.976,43.51,mobile,F,12,N,N,Y,1
0.119,0.65,0.807,0.057,0.955,14.87,mobile,M,50,N,N,N,1
0.118,0.152,0.195,0.105,0.8,16.69,mobile,M,52,N,N,Y,1
0.649,0.061,0.345,0.586,0.242,8.22,tablet,M,30,N,N,N,0
0.746,0.781,0.336,0.544,0.068,23.01,pc,M,22,Y,Y,N,0
0.583,0.46,0.979,0.234,0.317,31.62,tablet,F,27,Y,N,N,1
0.962,0.058,0.857,0.638,0.267,31.03,tablet,M,33,N,Y,N,0
0.375,0.995,0.701,0.82,0.506,31.49,mobile,F,36,N,N,Y,0
0.286,0.058,0.727,0.042,0.778,15.89,tablet,M,13,N,N,N,0
0.869,0.695,0.562,0.498,0.858,38.03,mobile,F,31,N,N,N,0
,0.984,0.947,0.689,0.845,32.4,pc,M,33,N,N,Y,0
0.963,,0.496,0.252,0.36,37.33,tablet,F,49,N,Y,N,0
0.012,0.142,0.381,0.308,0.687,11.07,tablet,F,54,Y,N,Y,0
0.97,,0.163,0.614,0.313,33.11,tablet,F,19,N,Y,Y,0
0.043,0.303,0.786,0.898,0.061,18.12,mobile,M,11,N,Y,N,0
0.891,0.101,0.734,0.81,0.702,26.03,mobile,F,49,N,Y,Y,0
0.528,0.692,0.384,0.583,0.01,35.34,tablet,M,15,Y,N,N,0
0.993,0.062,0.025,0.73,0.409,30.91,tablet,F,57,N,N,Y,0
0.074,0.509,0.839,0.365,0.329,21.48,pc,F,27,Y,Y,Y,0
,0.997,0.011,0.641,0.693,30.06,pc,M,26,Y,Y,N,0
0.969,0.814,0.704,0.466,0.766,14.68,pc,F,47,Y,N,Y,1
0.523,0.615,0.97,0.19,0.304,41.5,pc,F,54,N,N,N,1
0.629,0.306,0.438,0.702,0.812,27.95,pc,M,32,N,N,N,0
0.696,0.624,0.235,0.556,0.294,,mobile,F,55,N,N,N,0
0.455,0.527,0.705,0.359,0.446,24.73,pc,F,39,N,N,N,1
0.628,0.426,0.817,0.911,0.727,24.76,pc,F,30,N,N,N,0
0.584,0.131,0.546,0.021,0.693,22.36,tablet,F,19,N,N,Y,0
0.901,0.887,0.967,0.316,0.987,38.76,mobile,M,52,N,N,N,0
0.045,0.45,0.052,0.057,0.225,22.91,pc,F,22,Y,N,Y,0
0.281,0.195,0.505,0.767,0.662,36.45,pc,F,21,N,N,N,0
0.95,0.368,0.718,0.702,0.61,26.18,pc,F,18,N,N,N,1
0.89,0.414,0.863,0.331,0.915,10.24,tablet,F,13,N,N,N,1
0.456,0.828,0.179,0.676,0.156,24.3,tablet,F,48,N,N,N,0
0.62,0.734,0.8,0.396,0.752,18.21,tablet,F,33,N,N,N,0
0.277,0.769,0.553,0.756,0.568,30.34,pc,F,43,Y,Y,N,0
,0.011,0.397,0.454,0.275,18.1,tablet,F,48,N,Y,N,0
0.464,0.416,0.132,0.412,0.474,39.26,pc,M,50,N,N,Y,0
0.353,,0.865,0.935,0.334,29.09,mobile,M,14,N,N,Y,0
0.584,0.019,0.157,0.251,0.579,28.22,pc,M,24,N,N,Y,0
0.078,0.26,0.31,0.12,0.889,36.56,tablet,M,59,N,N,N,0
0.974,0.76,0.29,0.585,0.569,39.64,mobile,F,13,N,N,Y,0
,0.137,0.871,0.969,0.632,29.8,pc,F,48,N,Y,Y,1
0.698,0.535,0.673,0.378,0.519,22.29,mobile,M,17,Y,N,Y,0
0.536,0.215,0.797,0.062,0.051,12.26,mobile,M,58,N,N,N,1
0.31,0.012,0.25,0.339,0.233,23.14,mobile,M,54,N,Y,N,0
0.814,0.241,0.625,0.506,0.492,23.83,pc,F,33,Y,Y,Y,0
0.685,0.976,0.572,0.162,0.31,31.07,tablet,F,37,N,Y,Y,0
0.163,0.802,0.833,0.658,0.182,26.55,pc,M,52,N,N,Y,0
,0.96,0.906,0.998,0.504,36.88,tablet,M,36,N,N,Y,0
0.823,0.488,0.012,0.452,0.323,23.87,pc,M,10,Y,N,Y,1
0.95,0.11,0.674,0.355,0.258,29.43,pc,M,43,N,N,N,1
,0.548,0.052,0.401,0.464,41.84,pc,M,26,N,Y,N,0
0.613,0.454,0.549,0.115,0.133,33.42,tablet,F,46,N,N,Y,0
0.418,0.844,0.288,0.883,0.928,29.4,pc,M,47,N,N,Y,0
0.933,0.098,0.307,0.415,0.868,23.98,mobile,F,35,Y,N,Y,0
0.866,0.488,0.353,0.387,0.708,23.67,pc,M,33,N,N,Y,0
0.045,0.15,0.621,0.66,0.106,21.49,mobile,M,48,Y,N,Y,0
0.026,0.325,0.334,0.442,0.776,,tablet,F,30,Y,N,Y,0
0.376,,0.733,0.648,0.808,37.56,tablet,M,39,N,N,Y,0
0.811,0.476,0.405,0.061,0.768,27.78,pc,F,56,N,N,N,0
0.987,0.376,0.068,0.814,0.114,16.5,pc,F,57,N,N,N,0
,0.394,0.784,0.941,0.644,,pc,M,22,Y,Y,N,0
0.594,0.459,0.286,0.649,0.834,33.2,mobile,M,46,N,N,Y,1
0.381,0.785,0.433,0.955,0.577,,tablet,F,12,N,N,N,0
0.97,0.892,0.685,0.151,0.646,25.58,mobile,F,41,N,N,N,1
0.842,0.955,0.332,0.477,0.458,31.11,mobile,M,44,N,N,Y,1
0.838,0.787,0.057,0.602,0.529,47.05,pc,F,28,N,N,Y,1
0.469,,0.374,0.582,0.034,18.92,pc,M,23,N,Y,N,1
0.415,0.688,0.944,0.401,0.639,39.76,mobile,F,57,Y,N,Y,0
0.273,,0.642,0.338,0.081,43.99,mobile,M,31,N,N,Y,1
0.056,0.255,0.671,0.127,0.435,23.71,pc,F,26,N,N,N,0
0.865,0.841,0.632,0.392,0.293,27.22,pc,F,13,N,Y,N,0
0.813,0.038,0.199,0.163,0.545,19.64,mobile,M,54,N,Y,Y,1
,0.902,0.418,0.734,0.133,27.97,pc,F,49,N,Y,N,1
0.997,0.461,0.751,0.209,0.692,29.63,pc,F,28,Y,N,N,1
0.555,0.637,0.101,0.059,0.795,36.6,mobile,F,46,Y,N,Y,1
0.769,0.659,0.278,0.552,0.163,40.9,mobile,F,11,N,N,N,1
0.945,0.895,0.276,0.595,0.104,22.52,tablet,F,24,Y,N,Y,1
0.85,0.637,0.432,0.872,0.146,10.33,mobile,F,11,N,N,Y,1
0.247,0.614,0.98,0.577,0.877,29.79,pc,F,20,N,N,N,0
0.451,0.067,0.068,0.345,0.528,32.94,mobile,M,54,N,N,Y,1
0.129,,0.519,0.803,0.467,32.49,mobile,F,32,N,N,Y,1
0.954,0.15,0.179,0.54,0.107,26.73,mobile,F,19,N,N,Y,1
0.606,0.737,0.971,0.079,0.65,31.25,tablet,M,12,N,N,N,0
0.229,0.512,0.113,0.566,0.868,45.15,tablet,F,14,Y,N,N,0
0.672,0.68,0.404,0.908,0.828,33.82,pc,F,12,N,N,Y,0
0.618,0.042,0.738,0.396,0.626,26.27,tablet,M,47,N,N,N,1
0.358,0.085,0.705,0.296,0.075,25.0,mobile,F,22,N,N,Y,0
0.114,0.716,0.423,0.143,0.112,28.3,tablet,F,51,Y,Y,N,0
0.672,0.072,0.347,0.151,0.049,46.37,mobile,M,28,N,Y,Y,0
0.52,0.071,0.398,0.433,0.257,28.17,tablet,M,49,N,N,N,1
0.772,0.012,0.264,0.596,0.136,29.8,tablet,F,59,N,Y,N,1
0.52,0.957,0.205,0.081,0.26,25.18,tablet,F,44,N,N,N,1
0.852,0.738,0.483,0.94,0.385,40.99,mobile,M,33,N,N,Y,0
0.552,0.353,0.269,0.755,0.943,,tablet,F,33,N,N,N,0
0.561,0.297,0.287,0.587,0.61,34.51,mobile,M,26,Y,N,Y,0
0.877,0.35,0.657,0.828,0.835,30.83,mobile,M,49,N,N,N,0
0.403,0.775,0.969,0.08,0.71,30.37,pc,M,19,N,Y,Y,1
0.134,0.661,0.604,0.477,0.113,6.16,tablet,F,11,N,Y,Y,0
0.029,0.185,0.077,0.63,0.736,37.45,pc,M,53,N,N,Y,0
0.755,0.174,0.076,0.829,0.275,31.34,pc,M,32,Y,N,Y,0
0.62,0.098,0.951,0.783,0.639,34.28,mobile,M,15,Y,N,N,0
0.704,0.66,0.297,0.277,0.341,22.89,tablet,F,11,N,Y,N,1
0.213,0.764,0.092,0.941,0.998,26.16,mobile,F,30,N,N,N,0
0.136,0.265,0.599,0.124,0.264,25.89,mobile,F,44,N,N,N,1
0.015,0.021,0.624,0.875,0.279,40.22,tablet,M,58,N,Y,N,0
0.351,0.082,0.649,0.971,0.931,26.21,mobile,F,38,N,Y,Y,0
0.59,0.968,0.267,0.177,0.025,50.83,tablet,F,16,N,N,Y,0
0.392,0.295,0.015,0.722,0.697,34.31,tablet,M,38,N,N,Y,0
0.437,0.769,0.965,0.04,0.725,17.24,mobile,M,46,N,N,Y,1
0.904,0.625,0.251,0.405,0.836,28.71,mobile,F,32,N,N,Y,0
0.348,0.382,0.676,0.516,0.974,23.48,pc,F,42,N,N,Y,0
0.514,0.206,0.707,0.581,0.976,8.06,mobile,M,17,N,N,Y,0
0.784,0.121,0.61,0.936,0.065,45.99,tablet,F,21,N,N,Y,0
0.397,0.615,0.313,0.672,0.822,37.03,pc,M,55,N,N,N,1
0.622,0.775,0.271,0.481,0.646,35.33,tablet,M,57,N,Y,Y,0
0.862,0.644,0.598,0.81,0.647,31.65,pc,F,19,N,N,N,0
0.95,0.53,0.866,0.951,0.128,16.18,mobile,F,24,Y,N,N,1
0.147,0.042,0.947,0.022,0.65,25.16,mobile,F,33,N,N,N,0
,0.968,0.106,0.983,0.982,38.42,mobile,F,35,N,N,Y,0
0.492,0.799,0.155,0.086,0.912,19.49,tablet,M,56,N,N,Y,0
0.258,0.293,0.945,0.814,0.439,4.68,pc,F,51,Y,N,Y,0
,0.98,0.737,0.28,0.04,27.73,tablet,F,48,Y,N,Y,1
0.98,0.602,0.883,0.132,0.362,28.58,pc,F,12,Y,N,Y,0
0.493,0.582,0.203,0.44,0.826,31.36,mobile,M,11,N,N,N,1
0.329,0.748,0.588,0.644,0.701,37.29,tablet,F,15,Y,N,N,0
0.633,0.812,0.701,0.381,0.459,36.38,mobile,F,30,N,N,N,1
0.24,0.656,0.68,0.055,0.055,32.59,tablet,M,18,Y,N,Y,0
0.076,0.128,0.408,0.599,0.427,41.96,mobile,M,19,Y,Y,Y,0
0.129,,0.015,0.902,0.469,14.81,tablet,M,45,Y,N,N,0
0.128,0.928,0.583,0.383,0.929,35.05,tablet,M,12,Y,N,Y,0
0.152,0.225,0.253,0.216,0.641,36.27,pc,M,50,N,N,N,1
0.139,0.372,0.45,0.443,0.312,17.6,mobile,F,33,N,Y,N,1
0.641,0.432,0.958,0.048,0.525,14.97,pc,M,31,N,Y,Y,0
0.182,,0.399,0.82,0.066,22.54,pc,M,58,Y,N,Y,0
0.346,0.613,0.84,0.826,0.973,23.38,mobile,M,23,Y,N,Y,0
0.897,0.943,0.189,0.588,0.36,37.53,tablet,M,51,N,N,Y,1
0.474,0.241,0.672,0.353,0.478,23.85,pc,M,54,N,N,Y,1
0.668,0.122,0.977,0.8,0.355,21.44,mobile,M,53,Y,Y,Y,0
0.172,0.197,0.102,0.555,0.683,23.88,tablet,M,36,N,Y,Y,1
0.192,0.887,0.008,0.826,0.662,41.19,pc,M,42,N,N,N,1
0.041,0.646,0.434,0.631,0.715,30.13,pc,F,31,Y,Y,N,0
0.169,0.286,0.093,0.784,0.268,28.21,pc,F,38,N,N,Y,1
0.279,0.816,0.748,0.599,0.316,28.9,tablet,F,28,Y,N,N,0
0.177,0.861,0.915,0.414,0.125,42.92,pc,M,28,N,Y,N,0
0.089,0.847,0.434,0.958,0.656,22.51,tablet,M,15,Y,N,N,0
0.121,0.919,0.259,0.541,0.04,43.16,pc,M,54,N,Y,N,0
0.461,0.252,0.434,0.605,0.598,32.1,mobile,F,28,Y,Y,Y,0
0.206,0.755,0.723,0.22,0.87,28.4,pc,M,22,N,N,Y,0
0.364,0.461,0.009,0.626,0.891,55.01,mobile,M,35,Y,N,N,1
,0.842,0.589,0.572,0.449,19.44,mobile,M,31,N,N,N,0
0.69,0.728,0.613,0.185,0.459,26.46,mobile,F,30,N,N,N,0
0.039,0.776,0.638,0.06,0.077,17.68,tablet,F,45,N,N,N,1
0.799,0.656,0.242,0.604,0.671,39.52,mobile,M,11,N,N,N,0
0.628,0.177,0.714,0.764,0.821,46.89,pc,F,56,N,N,Y,0
0.082,0.545,0.091,0.523,0.245,46.7,tablet,M,53,N,N,Y,1
0.874,0.985,0.199,0.227,0.421,42.24,mobile,M,39,Y,N,Y,1
0.921,0.937,0.877,0.667,0.839,,tablet,F,36,N,Y,N,0
0.061,0.043,0.739,0.08,0.877,26.35,tablet,F,16,Y,Y,N,0
0.277,0.165,0.014,0.442,0.243,13.29,tablet,F,29,N,N,N,1
0.806,0.132,0.248,0.163,0.551,50.36,pc,F,59,Y,N,N,0
0.748,0.726,0.214,0.184,0.192,34.69,mobile,M,40,N,N,N,0
0.185,0.818,0.271,0.202,0.102,25.08,tablet,M,32,N,N,N,0
0.209,0.214,0.248,0.387,0.911,43.28,tablet,F,22,N,N,N,0
0.37,0.506,0.063,0.051,0.821,20.27,tablet,F,26,N,N,Y,1
0.485,0.841,0.459,0.398,0.76,34.07,mobile,M,13,Y,N,N,1
0.618,0.733,0.733,0.512,0.049,28.27,tablet,M,23,N,N,N,1
0.369,0.542,0.607,0.483,0.844,36.39,tablet,M,29,Y,N,Y,1
,0.59,0.673,0.383,0.438,29.36,pc,M,22,N,N,Y,0
0.747,0.508,0.081,0.839,0.342,15.49,mobile,F,12,N,Y,N,0
0.037,0.298,0.951,0.145,0.546,,pc,F,35,N,N,Y,1
0.252,0.565,0.838,0.506,0.091,40.49,mobile,F,35,Y,N,Y,0
0.713,0.689,0.805,0.062,0.757,29.71,mobile,M,27,Y,N,Y,0
0.895,0.873,0.823,0.071,0.582,37.75,mobile,M,41,Y,Y,N,1
0.512,0.636,0.933,0.574,0.187,19.54,pc,F,23,Y,N,N,0
0.532,0.761,0.544,0.566,0.188,29.74,pc,F,56,Y,N,Y,0
0.107,0.16,0.2,0.878,0.184,23.75,pc,F,12,N,Y,Y,1
0.447,0.462,0.617,0.558,0.057,37.47,pc,M,10,Y,N,N,1
0.533,0.009,0.743,0.96,0.588,30.31,tablet,F,35,N,N,N,0
,,0.738,0.049,0.84,36.9,tablet,M,33,N,N,N,1
0.269,0.726,0.521,0.098,0.017,40.88,tablet,F,58,N,Y,Y,0
0.377,0.992,0.068,0.044,0.049,36.92,mobile,F,44,N,N,Y,0
0.02,0.099,0.371,0.185,0.573,32.73,tablet,F,23,N,N,Y,1
0.322,0.401,0.921,0.541,0.819,20.02,mobile,M,12,N,N,N,1
0.211,0.8,0.584,0.646,0.327,29.97,pc,M,22,Y,N,Y,0
0.327,0.204,0.538,0.046,0.35,24.67,mobile,M,56,N,N,Y,0
0.12,0.555,0.269,0.946,0.596,26.56,mobile,M,59,N,Y,Y,0
0.891,0.733,0.368,0.842,0.274,26.25,tablet,M,23,N,Y,Y,0
0.594,0.616,0.895,0.297,0.027,20.2,pc,M,30,N,N,N,0
0.679,0.188,0.666,0.077,0.735,10.43,pc,F,35,N,Y,Y,0
0.789,0.355,0.787,0.17,0.626,23.32,tablet,M,12,N,N,N,0
0.498,0.784,0.454,0.127,0.581,31.93,pc,F,49,Y,N,N,0
0.087,0.554,0.63,0.123,0.742,16.52,pc,M,13,N,N,Y,0
0.537,,0.248,0.519,0.675,30.16,pc,F,45,N,Y,N,1
0.587,0.761,0.705,0.246,0.206,49.0,tablet,F,52,Y,N,N,0
0.745,0.035,0.428,0.358,0.352,40.23,pc,M,10,Y,N,N,0
0.432,0.746,0.443,0.99,0.126,46.44,mobile,F,49,Y,Y,Y,1
0.128,0.202,0.649,0.684,0.13,33.91,mobile,M,56,N,Y,Y,1
0.284,0.958,0.936,0.949,0.676,41.68,pc,M,42,Y,N,Y,0
0.363,0.368,0.064,0.143,0.859,22.76,tablet,M,16,N,Y,N,0
0.646,0.327,0.825,0.382,0.963,23.56,tablet,M,20,N,N,N,1
0.571,0.149,0.292,0.555,0.628,2.61,tablet,F,36,N,Y,N,0
0.356,0.306,0.444,0.077,0.184,41.86,pc,M,23,N,N,Y,1
0.987,0.877,0.022,0.004,0.106,45.4,pc,F,31,N,N,Y,0
0.606,0.996,0.301,0.67,0.813,24.47,mobile,F,25,N,N,N,0
0.237,0.368,0.503,0.642,0.579,27.46,tablet,F,55,Y,N,Y,0
0.102,0.449,0.056,0.411,0.618,22.46,mobile,M,21,N,N,N,1
0.153,0.722,0.491,0.49,0.781,33.83,mobile,F,58,N,Y,Y,1
0.246,0.886,0.927,0.415,0.703,41.25,tablet,M,55,N,N,Y,0
0.161,0.593,0.105,0.024,0.834,,pc,F,19,N,N,Y,0
0.187,0.392,0.764,0.335,0.056,34.09,pc,M,33,Y,N,Y,0
0.285,0.413,0.41,0.177,0.748,27.23,mobile,M,55,N,N,Y,0
0.173,0.696,0.655,0.098,0.851,31.13,mobile,M,27,Y,N,Y,1
0.897,0.003,0.26,0.957,0.286,34.59,mobile,M,31,N,N,Y,0
0.08,0.62,0.159,0.599,0.64,28.12,mobile,F,18,N,N,Y,1
0.525,0.355,0.16,0.729,0.314,28.96,tablet,F,26,N,N,Y,0
0.41,,0.07,0.315,0.958,27.86,mobile,M,47,Y,N,N,1
0.982,0.093,0.186,0.393,0.033,39.7,mobile,F,49,N,N,Y,1
0.112,0.588,0.664,0.237,0.58,34.19,pc,M,22,N,N,N,0
0.398,0.481,0.882,0.097,0.167,32.21,pc,M,59,Y,N,N,0
0.969,,0.814,0.179,0.712,17.29,pc,F,46,N,N,N,0
0.866,0.065,0.685,0.798,0.176,26.21,tablet,M,15,N,N,N,0
0.817,0.58,0.11,0.678,0.235,38.99,tablet,M,30,N,Y,Y,0
0.258,0.561,0.289,0.547,0.494,30.38,pc,M,45,N,N,N,0
0.171,0.561,0.31,0.475,0.915,36.6,pc,M,16,N,Y,N,1
0.669,0.603,0.25,0.922,0.212,47.67,mobile,M,45,N,Y,N,0
0.929,0.676,0.515,0.073,0.144,40.39,mobile,F,34,N,N,Y,1
0.557,0.805,0.536,0.281,0.759,30.93,tablet,F,20,N,N,Y,1
0.572,0.27,0.357,0.35,0.501,24.89,tablet,F,53,N,N,Y,1
0.28,0.825,0.354,0.782,0.912,4.46,mobile,M,23,Y,N,N,0
0.769,0.498,0.829,0.993,0.147,28.32,pc,M,54,Y,N,N,0
0.187,0.077,0.789,0.241,0.646,26.74,mobile,M,38,Y,Y,Y,0
0.324,0.059,0.308,0.874,0.233,33.9,tablet,M,19,N,N,N,0
